经度,纬度,地标名称,URL
120.569481,31.310086,苏州寒山寺,https://m.weibo.cn/p/100101B2094650D16EA6F4439A?sudaref=m.weibo.cn&display=0&retcode=6102
120.607933,31.419725,苏州中国花卉植物园,https://weibo.com/p/100101B2094650D16BAAF4459A
120.857872,31.454291,阳澄湖水上公园,https://weibo.com/p/100101B2094650D16CA2F9439E
120.356621,31.322405,苏州太湖国家湿地公园,https://weibo.com/p/100101B2094750D36BA4F4489E
120.703377,31.298352,金鸡湖景区,https://weibo.com/p/100101B2094254D36DA6FD4099
120.720694,31.270809,独墅湖,https://weibo.com/p/1001018008632050600000016
120.875704,31.264757,甪直古镇,https://weibo.com/p/100101B2094650D164A1F5459D
120.850169,31.115118,周庄古镇,https://weibo.com/p/100101B2094757D068A2F4469D
120.357844,31.323578,苏州太湖国家湿地公园,https://weibo.com/p/100101B2094757D069A2F8409D?containerid=100101B2094757D069A2F8409D&_T_WM=dec0c87a0e99d184c50bb95aab4caa6a
120.510408,31.250669,苏州木渎古镇,https://weibo.com/p/100101B2094450D569ABFE419D
120.793306,31.373862,华谊兄弟电影世界,https://weibo.com/p/100101B2094256D66BA4F8469F
